text,label
皆さん書かれているとおり設備自体の古さは否めませんが、それを補って余りあるホスピタリティを感じました。,e
又うすい掛け布団1枚しかなかったので、在室中ずっと寒い思いをしました。,k
部屋のスペースや掃除の関係もあるかとは思いますが、一般ゴミとリサイクル可能ゴミの分別廃棄出来るよう、部屋に２つゴミ箱が設置してあればもっと良くなるなぁーと思いました。,y
それから値段もチョット高めですね。,k
繁華街からも近くて便利でした。,p
本物のサービスを提供して頂けました。,p
部屋にある、作務衣も、わざわざ部屋着を持って行かなくていいし、天然温泉には必要な物が一式、揃ってるし、言う事なしです。,p
料理も温かい物が少なかったです。,k
選べる枕・女性用アメニティなどに加え、部屋に「リセッシュ」があったのは助かりました（夕食が焼肉だったので、なんとなくコートについた臭いが気になったので・・・）！,p
かなりお得で泊ってよかったです。,p
皆さんが書かれているように、ウェルカムコーヒーは有り難いサービスでした。,p
フロントのチェックイン時に対応していただいた方の対応はカードキーの説明にアパホテルの利用が初めてだったのにも関わらずわかるわけないのにわかりますか。,k
駅からも近く、隣はコンビニと立地は大変良いところでした。,p
また、ＬＡＮケーブルも貸していただいたので助かりました。,p
部屋も狭い。,k
駅から商店街のアーケードを通れば雨に濡れないのでそれもうれしいです。,p
ホテルの客室は清潔でかわいらしく機能的な作り、スタッフの方の対応も感じが良く、無料の朝食も、数種類のパンと温かいおかず、サラダ、たくさんの種類の飲み物など大変充実していました。,p
当日に予約したのですが、お部屋のお風呂もよく貸切露天風呂もよく大満足です。,p
チャックイン時のキャッシュバックくじも、良いアイディアだと思います。,p
お風呂も露天風呂・カメ風呂といろいろ楽しめて良かったです。,p
ただ飲み放題のお酒の種類が少なかったため、ビールが飲めない私には物足りませんでした。,k
ただ、覚悟はしていましたがお風呂はかなり狭かったです。,k
ご配慮で大きめの部屋を用意して頂き、ありがたかったです！,p
ベッドと枕が合わず寝苦しかった,k
部屋自体はいたって普通のビジネスホテルという感じです。,e
ステーションホテルというより寧ろリバーサイドホテルという感じ。,e
申込みをしてから数回プランを変更し、問合せをする事があったのですがフロントの方に大変良く対応して頂きました。,p
無料ドリンクの設備が宿泊階のエレベーター前に設置されていたのはビックリしました。,p
駐車場が出し入れしやすく立地場所も良くまた利用したい,p
別府駅西口側で、駐車場が広く非常に便利。,p
部屋の温度調節はあまり良くなく、寝にくかったです。,k
リニューアルされた部屋の雰囲気はレベルアップだ。,p
お部屋にはありますが、寒い時期なので濡れ髪のまま部屋まで歩くのはちょっとためらわれます。,k
駅から近く、部屋もきれいで気に入っています。,p
貴ホテルで感心するのは利用者の要望や状態を、フロントの方たちが全て把握していらっしゃる点です。,p
お風呂は泉質も良いのですが、洗い場の数も少なく湯船も狭いのが残念でした。,e
フロントの応対も丁寧でととも好感を持ちました。,p
近くにコンビニがあるのが良かった。,p
いつもは良かったと思うのですが、チェックアウトの日が祭日だったせいもあり、非常にまつました、臨機応変に対応したらいかがでしょうか。,k
10階に宿泊しましたが、眺めもよくて快適でした。,p
漫画のある場所に気づくのが遅れてしまったのが残念。,k
大浴場は展望というわりには景色は窓が曇って見えませんでしたが、お風呂が湯温を変えて３種類用意されていたので、暑いのが苦手な子供には便利でした。,e
朝御飯もおいしかったです。,p
しかしながら、価格、立地等総合的に☆,p
夜にインしたため、部屋の電灯パネルが暗くて見えにくかった。,k
frontの対応も親切でした。,p
幼児２人連れの宿泊でしたが、食事に個室の座敷を用意して頂いていたり、急遽その場で追加をお願いしたお子様ランチもすぐに対応して下さいました。,p
個人的には北向きのシングルのお部屋も大好きです。,p
２４時間換気機能のせいか、乾燥しがちです。,k
料金、立地条件は良かったのですが冷蔵庫が今一冷えなかったのと、シャワーが適温にならなかったのが残念でした。,e
新しいだけあって、フロントの応対も丁寧で、部屋もキレイでした。,p
一つ、要望を言わせていただくと、部屋に荷物を置くための台のような物（正式名称が分かりませんが、折りたたみ式の物）があると、もっと快適な部屋になったと思います。,y
適温に調整したと思ったらそのうち、熱くなったり冷たくなったり。,k
いくら安くてもカビ臭い部屋は我慢出来ないので多分２度目はないと思いますが従業員の皆様頑張ってください。,k
女性の私、入りたかった…。,y
まずい対応は、私を最後にして欲しいです。,y
新聞サービスもありがたかったです。,p
出来れば自販機・ランドリーの場所に両替機を設置していただけたらうれしいです。,y
エレベータが遅すぎる。,k
使い勝手はいいんだけど、たまにＵＢがどぶ臭いんです。,k
当日はホテル到着後、雨が降り出したため、外へ食事に行くのが面倒だなぁ〜と思っていたら、なんとルームサービスがお手ごろな価格であったので、ルームサービスを取りました。,p
お風呂へは階段が有り足の悪い母には上り下りにちょっと大変だった様です。,k
ただ、バスルームの換気扇が動かなかったのと、インターネット接続環境が部屋に無かった事は残念です。,k
朝食も美味しく頂きました。,p
飲み物は別料金なのに、その説明もありませんでした。,k
長野県の中でもっとも土地が高いと言われている場所であって立地は最高でした。,p
また、連泊時に清掃の方が直接入ってきたのにはびっくりしました（ロックはしていましたが・・・）。,k
お部屋については、価格を考えれば満足ですが、せめてシェービングクリームくらいは置いて欲しいです。,y
辛うじて見ることができたのがＴＢＳだけでした。,k
大人２人で満員状態。,k
駐車場の場所がわかりずらかったですが、駐車場の従業員の方の対応が良かったです。,e
些細なことなのですが気になる点が一つ。,k
また浴衣にしても色々と用意されており行き届いたサービスだと思います。,p
生卵が無かったのが残念です。,k
ホテル作成の周辺地図も、分かりやすくて助かった。,p
楽しませて頂いたのですが、リモコンがあると助かります。,e
一応コードとかたばねておいて欲しかったです少々改善ですね。,y
新しいホテルともあり設備も綺麗でした。,p
スタッフの対応も親切で好感が持てました。,p
すぐに救急病院を紹介していただき、食事や看護グッズも用意してもらいました。,p
何より価格が安い！,p
何か理由があるのだと思うが、困りますね。,k
お風呂も入れて良かったです、駐車場が無料ならいうことないのですが,e
眺望よし、ベッドの心地よさ具合よし、お風呂のお湯もすぐにたまり、部屋自体は良いと思います。,p
私は、たびたび利用させていただいており、フロントの従業員さんの対応も良く、部屋もも広く良かったです。,p
疲れて熟睡したので電車の音も全く気になりませんでした。,e
バイキングも和洋中と楽しめ、しかも朝と夜で大変満足でした。,p
やっぱり今回も２度と利用しないと思いました。,k
また手すりに付けられた目隠し用の板（？）が外れていて、風の強い日だったので倒れてきました。,k
値段が安くてとて良かったです。,p
若干狭いのですが、綺麗なお部屋でとても満足でした。,e
普通、カーペット仕様の部屋なら、設定２３，４℃で調度良い（寒冷地で生まれ育ったなら別）と思いますが、２７℃以上にしないと、下のほうが寒くて毛布一枚だと、朝目覚めた際に恐怖を感じます（ビジネスなので）。,k
m（__）m要望を言いますと〜?,y
前回・今回と同一の部屋だったのですが、シャワーの温度が一定でなかったのが残念でした。,k
いつもはツインの部屋でしたが、今回はトリプルだったので、お部屋が広くて、とっても快適に過ごせました！,p
特に今回は駐車場付を探していたので駐車料金も高くなく本当に満足しました。,p
他は非常にいいだけに残念。,e
山形のリッチモンドHと比べるとかなり落ちる。,k
部屋はとても広くベッドも大きくてよく眠れました。,p
阪急「高槻市駅」からのロケーションは最高。,p
ちなみに、朝食ではどこのホテルでも出されてる、和洋料理バイキングだったので可も、不可もない内容でした。,e
スタッフの方はとても親切にして下さり良かったです。,p
コーヒーも無料で飲めるので満足しています。,p
フェイスタオル、バスタオルはありましたが、これ以外に１枚ハンドタオルがあるととても助かるかなと思いました。,y
食事はお手軽夕膳でしたが、さしみにフライと年配の両親には少し多いぐらいボリュームがあり味も満足でした。,p
サザエ、つぶ貝等の方がよかった。,y
駅から近いので移動は楽々でした。,p
部屋の壁も厚く隣部屋の声も気になりません。,p
宿泊料から考えるとお得感のあるホテル。,p
あまり期待はしてませんでしたが、部屋はきれいで、朝食もまあまあおいしくて満足できました。,p
親切な従業員の方々、おいしい料理ととても満足のいく旅行になったと思います。,p
観光にも便利ですし、温泉も良かったです。,p
フロントの方の対応やサービスもよく立地も抜群です♪,p
グッズも充実。,p
ちなみに、ここのお米はビジネスホテルにしては珍しくおいしいお米を使っていると感じました。,p
全体的に普通としかいいようがありませんが、部屋は広めで価格は安いです。,e
格安プランにて、朝食付きで食事内容もとてもよかったと思います。,p
駅を降りてすぐ目の前にそびえることから、非常に立地条件が良い。,p
お食事は、ほとんどすべてが手作りのようで、お味噌もお手製とのことで、全て美味しいものでした。,p
駅と同じ建物なので移動が楽で本当に助かります。,p
このホテルは少し高いですが、綺麗でゆっくりできるのでうれしいですね。,e
特に不満はありません。,e
ただ、おしゃれな洗面台で、壁に水が飛び散るので掃除をされる方はたいへんだろうなと思いました。,e
早朝に、若い女の子の集団がエレベーターロビーで騒ぐ声で目覚める…という最悪の朝を迎えました。,k
客室に独立したキッチンが付いていて、函館の市場を買った物を調理したりできる。,p
１階に夜１２時までですがセイコーマートがあったのは便利でした。,p
駅に近く、立地が大変便利、落ち着いて過ごせる良いホテルと思います。,p
駅近、大浴場、ＬＡＮ環境完備でこの価格は、とてもお得感があります。,p
町中にあるので、駐車料金一泊1000円も仕方ないのでしょうが、少し高いように感じました。,k
品数は少なめで、焼き魚が冷めて硬かったですね。,k
前回はチェックインが海外の団体客さんと被ってしまい、30分程待たされました。,k
部屋もきれいで、空気清浄機あり、消臭スプレーありと翌日も快適な気分になります。,p
少し気になったのは、部屋の床の間にゴミ（ガムの包み紙、おそらく前泊の人？）が転がっていたのと、部屋からの景色（こればっかりはしょうがないんですがお墓）であまり窓の外を眺められなかったことです。,k
北海道のこんな田舎で、それも宿泊客から駐車場代を取るとはびっくりでした。,k
予約時に禁煙と喫煙を間違えてしまいましたが、チェックインの際フロントの方より、その事を教えて頂き、その場で喫煙に替えて頂く実にスピーデイなご対応でした。,p
食事はボリューム的には少々少ないように感じましたが、雨の日や疲れて部屋から出たくないなぁ〜という時などは便利だと思います。,e
しかしサービスは今まで泊まったどのホテルよりもよかったです！,p
値段に対して質の高いサービスでした。,p
部屋の案内も頂き「うわさの早口言葉」であっても説明十分で、、感心するほどでした。,p
部屋も綺麗でコンパクトにまとまっており、使いやすかったです。,p
男性スタッフは笑顔で対応してくれたのですが、女性のスタッフは笑顔や挨拶がなく、不審者を見るような目つきに感じました。,e
せっかくの温泉で眺めもいいのに、私の中では残念でした。,k
設備・サービス共に最高でした♪,p
神田明神に初詣に行くのに近い場所だったので良かったです。,p
素泊まりでしたが、リーズナブルな料金でよかったです。,p
部屋は広いし掃除も行き届いており、とても満足ですが部屋のお風呂が一昔前？って感じで入るには少し気遅れしました。,e
部屋に案内され、家族全員大喜び!!,p
是非基本チェックアウトを11時にしていただきたいです。,y
早速、サポートセンターでアドバイスや現地レート、もの凄く色々な不安が有って、あれこれ聞けて、スムーズに集合場所に行けたり、空港内での楽しみ方も教えて戴いて、安心して成田空港へ。,p
それ以外は本当に良いと思います。,p
あと夜間は温くて風邪を引きそうになりました。（外気も入ってくるし）,k
新しいホテルなので部屋がとても綺麗でした。,p
素早い対応は、大変ありがたかったです。,p
浴槽が狭いのが欠点でしょうか。,k
利便性満点です。,p
窓側のデスクではパソコンでの作業、そして丸テーブルでは飲食と、使い分けができ、しかも、リクライニング可能の大き目の椅子（よいうよりチェアーですね）もまた快適です。,p
建物さえ綺麗ならそれでいいといったものでは無いと思います。,e
玄関での出迎えやサービスなど、ゆっくり過ごすことができました。,p
温度差が大きく、毎日利用するものなので気になりました。,k
とても綺麗で駅からも近くて良かったです。,p
あれが美味しくて何度も利用した理由です。,e
スタッフの方々も親切丁寧で気持ちが良かったです。,p
ホテル近くにあるコンビニも１つだけでなく２つもあり、更に梅田などでご飯を食べてこなくても近くに個室のある居酒屋があり大きな旅行かばんを持ち、うろうろするのが嫌いなわたしには、ご飯の心配もないのでお気に入りです。,p
気の利いたサービスと思います。,p
駅から近く、チェックアウトが12時というのが魅力です。,p
シャワーが使いにくかった。,k
強いて言えばバスルームの鏡部分の照明が暗く女性には使い勝手が悪いでしょうか？,k
料金も立地も最高です。,p
パンが冷たく冷えていたので暖かければいいなと思いました。,k
お風呂に入ると、浴槽が狭いのは仕方がないかとおもいますが、あちこちが剥げていてお湯をためる気にはなりませんでした。,k
いいホテルです。,p
ちょっと塩素臭く、昔懐かしい感じです。,e
チェックアウトの際には、あめちゃんのプレゼントがありフロントの方の笑顔とともに癒されます。,p
評判どおりの快適さで、たいへん満足！,p
小さな音量でBGMでもあれば良いかと思いました。,y
ひとつお願いをするなら、お布団の下にマットがあるといいなって思いました。,y
金沢駅周辺のホテルにいろいろ泊まりましたが、立地、コストパフォーマンス、サービス等、とトータル的にここのホテルがベストと感じました。,p
とても、食べれるステーキではなく。,k
自分たちは何分も待たされお預け状態とても不愉快な思いをしました。,k
また、ホテルのすぐ隣に綺麗なバー？ができていました。,p
よほど責任者を呼んで文句の一つもと思いましたが、他の人達の雰囲気も考え抑えました。,k
部屋が広く、料金がリーズナブルでよかった,p
博多駅に近く空港へスムーズに行くことができました。,p
ただ、価格も非常にリーズナブルで部屋も綺麗なので女性でも安心して宿泊できるお勧めのホテルと思います。,p
ただ、部屋の窓からの冷たい風が眠りを妨げるんですよね〜,k
多分コンセントだと思いますが一度点検してみてください。,y
ベットだけが残念でした。,k
お風呂の水回りに若干問題があると思いますが、それ以外は概ね満足しました。,e
朝食や飲み物のサービス付きで、とにかく安い。,p
駐車場が無料はありがたいです。,p
これは最悪でしたので、早急に改善を願う。,k
朝食バイキングはありがたかったです。,p
ベットが広くてマットが腰に優しいので宿泊には最適でした。,p
テレビのチャンネル受信が悪い。,k
福井にはよく出張するのですが、今までで一番よかったです。,p
お風呂（共同）のドアには「入浴中」の札があると助かりますね。,y
聞かれる前に説明していただけたら良かったかと思います。,y
品数は普通に有りましたが、料理そのものが素人の料理の様でした。,k
枕がよいですね。,p
2010年は高知県でイベントも多いようですし、高知を訪れる時の選択肢の一つとして検討の価値はあるかと思います。,e
その後、ぬる湯に浸かって静かに心身ほぐれた。,p
洗面の流しれる所にゴミが残ってたし、部屋のジュータンにも髪の毛が…。,k
金額的に長崎では、少々割高なのでベルマン及びコンシェルジェにもう少し磨きがかかると良いかな？,k
今までかなり沢山のビジネスホテルに泊まりましたが、こちらのように満点のホテルはありませんでした。,p
総合的にはこの宿泊費でこの内容なら十分満足です。,p
お部屋は掃除も行き届いていて清潔で、広さ的にも充分でした。,p
ホテル内にコンビニもあり、店員さんがとても対応がよかったです。,p
ただ、部屋に置く必要はないけれど、希望者には髭剃り位は無料で配布してもいいのではないかとは思います。,y
温泉も露天も色々あり楽しめます。,p
今回で３回目の宿泊でしたが、相変わらず素晴らしい“もてなし”を堪能させて頂きました。,p
こちらの口コミで宿泊を決めて、本当に良かったと思いました♪,p
この立地でこの値段（連休中にもかかわらずツイン1室1万6000円）であれば、まあ、不満はない、と考えていいかなと思いました。,e
ひとつ残念なのが、客室の階に上がったときと、部屋に入ったとき何か臭かつた（たばこのにおいかな？）,k
２階にはコンビニも併設しており、また利用させて頂きます。,p
やや表通りから入った場所にあり、最初場所がわかりませんでした。,k
ただ少し残念な点は利用者が多すぎてエレベーターの待ち時間が長かったことです。,k
浴場も広いわけではないが、宿泊者で大混雑するわけではないので大丈夫だ。,e
立地条件も良くすぐに分かりました。,p
駐車場について荷物を持って歩いていると出勤してきたと思われる女性が「荷物を持ちますよ」と声をかけてくださり、荷物を持っていただけました。,p
部屋からの夜景もとても綺麗で、子供も妻も喜んでいました。,p
基本とも言うべき事項で、思い込みは時間を必要とし、お客を不愉快にさせるだけなので、再び発生しないよう勉強して頂きたい。,y
他のスーパーホテルと比べると温泉は狭い！！,k
繁華街にも近く、バス停や電停が目の前でありよかったです。,p
スタッフの対応がとても丁寧なホテルです。,p
お風呂が狭いのでお湯がすぐに入りました。,k
部屋もきれいで、ベッドも広く快適でした。,p
ただ部屋が広く窓が大きいので、寒がりの私には暖房の効きが悪いのがちょっと残念でした。,k
お部屋が広く圧迫感がないのでくつろげます。,p
自由に使えるパソコンがあるといいなー。,y
日ごろの疲れがとれ、熟睡できました。,p
チェックインまえに気持ちよく荷物も預かってもらえ身軽に行動もできアメニティーも女性のみ？,p
エントランスがとてもきれいでした。,p
某有名チェーンホテルなんかよりもとても広く、清潔で大変満足でした。,p
近くにはファミレス、コンビニも有って便利で良かったです。,p
近くにある、宮崎肉巻きおにぎりの店もあわせてお勧めです。,p
ONOFFを繰り返すと、寿命が短いと聞きますから交換時期だと思います。,k
急に決めましたのでお部屋からは東京タワーは見ることができませんでしたが、サロンでヘッドマッサージを利用した時によく見えました。,e
『マイプラン』みたいな名称でその人だけの希望を叶えるプランってお願いできませんか。,y
立地は良いし、部屋もベッドも料金の割には良いと思います。,p
金沢出張の際はいつも泊まっているのですが、いつも非常に心地良く宿泊しております。,p
チェックインもすぐに出来て、お部屋に入った途端かすかに悪臭が。,k
テレビは小さくて電波があまり良くなかったので残念でした。,k
大浴場はヒノキ造りであつ湯とぬる湯があり子供達も楽しく入れますし、浮き湯の露天風呂は池がライトアップされていて雰囲気が良く雪が降っているにもかかわらずつい長湯してしまいました。,p
ただ、夕食に出かけるところが無く、お酒を飲む場合はタクシーが必要です。,k
６：３０開始の朝食（おにぎり＋味噌汁）もありがたく、この宿泊代で出して大丈夫か、と毎回思います。,p
最近泊まることがなかったのですが、今回泊まってみて感心したことはテレビが地デジ対応になったことと、朝食つきプランができたこと。,p
フロントの人は感じがよかったです。,p
食事については部屋食でないので心配していたのですが、和風レストランで殆ど貸切状態だったので良かったです。,p
のんびり食事したいカップル向けかと。。。,e
一晩で何回も入ろうと思いましたが混んでいて断念しました。,k
部屋はシンプルで、古さは感じましたが、特に問題はありませんでした。,e
もうひとつ、騒音がずっとしていました。,k
お風呂はこの価格なら仕方がないことですがかなり狭めでしたただ新しく清潔です。,e
またシャンプーはリンスインで残念です。,k
綺麗にリニューアルされ快適に過ごせました。,p
お風呂は別館で真新しくとても清潔できれいでした。,p
ただ，なんつっても気に食わないのは，エントランスの溜り場になん時間も待たされること。,k
施設の古さ等の意見もありますが、とても得をした気分になれる宿です。,e
お部屋は清潔で快適でしたお食事もサラダとパンがとても美味しく、宿泊者専用ラウンジもGOOD!!,p
朝食がとても良かったです。,p
お部屋が臭うのではなく、私自身がタバコを吸うことで衣類に匂いが付いているため、それを落とすために利用したいのです。,k
朝食券はランチでも利用でき、ビーチに持っていくためテイクアウトを頼んだら心地よく対応してくれたのが有難かったです。,p
立地、設備、価格などいずれも満足です。,p
また、当日限定の安い料金での宿泊でしたが、最近のビジネスホテルと違い、部屋が広くて清潔、とてもよかったです。,p
お風呂、とっても快適でした。,p
また朝食についても、せっかく対面式のキッチンがあり、シェフらしき人がいるならオムレツや卵焼きなど位はその場で作るなどのサービスがあっても良いのではないでしょうか？,y
忘れていたのだと思うが「失礼しました。」の一言もなかった。,k
まあ合理化って感じなのでしょうがあの種類に対してプレート1枚では厳しいですね〜。,k
ホテルの方の感じがよかったこと。,p
説明がわからなくて聞き直したら面倒くさそうでした。,k
それでチェックインがスムーズになるのであればいいのですが、結局、私の名前は別の受付だったらしく、そこには無く、また改めて並び替えた時には更に、50人位の人が並んでいて…それでなくても急いでいるのに何の為の事前のチェックだったの？という感じでした。,k
道のりは遠いですが、行く価値は充分にあります。,p
コンビニが２階にありとても便利。,p
部屋は最近の格安ホテルより広くてキレイ。,p
場所もわかりやすい。,p
アクセスはシャトルバスがあるので不便はないです。,e
温泉施設も大変良く、清潔でバスタオル、タオル等も設備良く大変満足できるものでした。,p
●写真の通り部屋＆そこから眺められるお庭は素晴らしいものでした。,p
またベッドのシーツも、ビジネスホテルにありがちな布団と敷布団に間にシーツが1枚あるだけのようなタイプでなく、掛け布団にシーツがついているタイプだったのでよかったです。,p
全体的にキレイなホテルなので、多少部屋の狭さは、許容範囲でした。,e
バスルームの清掃が完璧ではない。,k
まず、ホテルのベッドとベッドの上のモノを置くスペースに謎の直径１センチほどの黒い塊がいくつもあり（天井からおちてきたのかなと思いましたがそんな感じでもなかったです。）手で払いのけましたが、掃除を徹底していただきたかったです。,k
各階にセキュリティー入室を、セッティングしているのだから、一階から宿泊階へ直接行けるようにしてほしい。,y
グラバー園の隣はいい立地条件です。,p
立地も良いので是非また利用させて頂きたいです。,p
立地的には中心から少し歩きますが、徒歩圏内ですし、郷土料理とサービス等大満足でした。,e
食事は満足しました。,p
駐車場が一杯だったのですがすぐに手配していただき、スムーズにチェックインすることができました。,p
雨季であるためか、部屋は湿気っぽく多少カビくさいのが部屋入室時には気になりました。,k
半額程度の施設、待遇であれば、格安料金というのは詐欺的な行為であると言わざるを得ない。,k
コンビニも前にあり、駅からも近く便利でした。,p
初めて利用しましたが、駅からも近く、ファミマとサークルＫサンクスが徒歩２分圏にあり便利な立地です。,p
連泊希望だったのに予約いっぱいで取れませんでしたがキャンセルのお部屋を取っておいてくださりフロントのスタッフは親切・丁寧でしたまた、予定変更になった際も対応良く、大変感謝しております掃除していただいた方のお心遣いも嬉しかったです４泊５日の長い間ありがとうございました,p
予約がとれない時以外、札幌に行く際には宿泊させていただいていますが、いつも最高のサービスをしていただき、大変満足させていただいています。,p
ホテル内の行きたい場所を質問をしても「○階です」といわれただけでその階の何という場所なの？って不安感がありました。,k
これはゆゆしきことで、楽天トラベルの信用問題でもある。,k
部屋のクリーニングなしのプランで頼んでも、部屋掃除もベットメイクもしてくれました。,p
徳島出張の第一候補のホテルです。,p
それ以外はすべてよかったのに残念です。,e
ユニットバスに入った瞬間に臭いがあり気になりました。,k
部屋は言う事も無く，APAのホテルではトイレが狭いと感じる事もたまにあるのですが，そんな事も無く，一晩だけとは言え快適に過ごさせて頂きました。,p
湿ってショートする危険がありますよ。,k
チェックインの際に待たされましたが、それ以外は全て◎！,e
食事は美味して産地の物を頂け、新鮮でした。,p
冷蔵庫欲しいです。?,y
４泊中３泊までは問題なかったのですが、最後の晩に上の階にチェックインされた方がかなりうるさく、苦情をゲストサービスに伝えましたが、うるささはそのままでした。,k
セキュリティーのなかなかで宿泊カードキーをエレベーター内でかざすタイプなので安心できます。,p
ビジネスでの宿泊でしたが、プライベートでも使いやすいホテルだと思います。,p
宿泊者駐車無料だったので、そりゃあもう急ぎました。,k
ホテル全体のコンセプト（船）も徹底されていて楽しみながら快適に過ごせるホテルだと思います。,p
無料サービスの朝食が美味しいです。,p
大井町駅からも近く、大変便利です。,p
もう二度と利用しません。,k
また、従業員の方の対応もよく、さすが老舗だと感じました。,p
ホテル内にビールなど飲み物の自販機はあるが、おつまみがなかったのは残念。,k
露天風呂ですが、湯船につかると輪島港の折角の景色が見えません。,k
朝食のバイキングはとても美味しかったですけど。,p
ただ、テレビのチャンネルがあっておらず、渡された番組表もずいぶん前に発行されたもののようで、実際の番組とは違っており、新聞のテレビ欄のコピーのほうがよかったです。,k
熊本まで列車を利用する方にはおすすめです。,p
土鍋ごはんも最高。,p
貸切露天風呂飛騨牛のステーキとても贅沢な気分にいつも満足！！！,p
・立地は駅から少し離れていて、周りにも食事処が少ないです。,k
壁の薄さと困った時の対応の悪さでそれまでの良い気分がすっかりうせてしまいました。,k
食事のレベルがとても高かったです。,p
設備も民宿としては十分以上で快適に過ごせ、宿の方からは色々と島の話も伺うことができ、ホテルや旅館では味わえない民宿の良さを味わうことが出来るお宿でした。,p
立地条件も良く、とても良い旅になりました。,p
あと、ホテルの駐車場の入り口があまり大きく表示されていなかったので、分かりにくかったです。,k
水戸駅から少し歩きますが、それでもまた利用したいと思えるホテルでした。,e
夜中遅く帰ってきても、気持ちよく対応されて良かった,p
21時チェックインの当日予約で安いプランで予約したのですが…やっぱり、安いからなのか、部屋の清掃が全くいきとどいてないと思いました。,k
フロントの皆様はいつもよく気を利かせてくれるので非常に気持ち良く過ごせました。,p
また、食事が終わってから片付けに来るまでに一時間ほどかかるのも残念でした。,k
